Date Time,Temperature,Humidity,Pressure,Light
"05/15/2022, 10:22:39",23.0,91.0,102.0
"05/15/2022, 10:22:43",23.0,95.0,102.0
"05/15/2022, 10:22:47",23.0,95.0,102.0
"05/15/2022, 10:22:51",23.0,95.0,102.0
"05/15/2022, 10:22:55",23.0,95.0,102.0
"05/15/2022, 10:22:59",E,r,102.0
"05/15/2022, 10:23:03",24.0,95.0,102.0
"05/15/2022, 10:23:07",23.0,95.0,102.0
"05/15/2022, 10:23:11",23.0,95.0,102.0
"05/15/2022, 10:23:15",23.0,95.0,102.0
"05/15/2022, 10:23:19",23.0,95.0,102.0
"05/15/2022, 10:23:23",23.0,95.0,102.0
"05/15/2022, 10:23:27",23.0,95.0,102.0
"05/15/2022, 10:23:31",23.0,95.0,102.0
"05/15/2022, 10:23:35",23.0,95.0,102.0
"05/15/2022, 10:23:41",23.0,95.0,102.0
"05/15/2022, 10:24:06",23.0,95.0,102.0
"05/15/2022, 10:24:11",23.0,93.0,102.0
"05/15/2022, 10:24:25",E,r,102.0
"05/15/2022, 10:24:57",23.0,73.0,102.0
"05/15/2022, 10:25:06",E,r,102.0
"05/15/2022, 10:42:55",E,r,102.0,<function LDRcall at 0x729bfda8>
"05/15/2022, 10:45:28",23.0,88.0,102.1,<function LDRcall at 0x729bfda8>
"05/15/2022, 10:48:08",E,r,102.0,Light Off
"05/15/2022, 10:48:16",E,r,102.0,Light Off
"05/15/2022, 10:48:20",23.0,76.0,102.0,Light Off
"05/15/2022, 10:48:24",23.0,75.0,102.0,Light Off
"05/15/2022, 10:48:28",23.0,75.0,102.0,Light Off
"05/15/2022, 10:48:32",23.0,75.0,102.0,Light Off
"05/15/2022, 10:48:36",23.0,75.0,102.0,Light Off
"05/15/2022, 10:48:40",23.0,75.0,102.0,Light Off
"05/15/2022, 10:48:44",23.0,75.0,102.0,Light Off
"05/15/2022, 10:48:48",23.0,75.0,102.0,Light Off
"05/15/2022, 10:48:52",24.0,76.0,102.0,Light Off
"05/15/2022, 10:48:56",23.0,75.0,102.0,Light Off
"05/15/2022, 10:49:00",24.0,75.0,102.0,Light Off
"05/15/2022, 10:49:04",24.0,75.0,102.0,Light Off
"05/15/2022, 10:49:08",23.0,75.0,102.0,Light Off
"05/15/2022, 10:49:12",24.0,75.0,102.0,Light Off
"05/15/2022, 10:49:16",E,r,102.0,Light Off
"05/15/2022, 10:49:20",23.0,75.0,102.0,Light Off
"05/15/2022, 10:49:24",24.0,75.0,102.0,Light Off
"05/15/2022, 10:49:28",23.0,75.0,102.0,Light Off
"05/15/2022, 10:49:32",23.0,75.0,102.0,Light Off
"05/15/2022, 10:49:36",24.0,75.0,102.0,Light Off
"05/15/2022, 10:49:40",24.0,74.0,102.0,Light Off
"05/15/2022, 10:49:44",23.0,74.0,102.0,Light Off
"05/15/2022, 10:49:48",23.0,74.0,102.0,Light Off
"05/15/2022, 10:49:52",E,r,102.0,Light Off
"05/15/2022, 10:49:56",23.0,74.0,102.0,Light Off
"05/15/2022, 10:50:00",24.0,74.0,102.0,Light Off
"05/15/2022, 10:50:04",23.0,74.0,102.0,Light Off
"05/15/2022, 10:50:08",24.0,74.0,102.0,Light Off
"05/15/2022, 10:50:12",24.0,74.0,102.0,Light Off
"05/15/2022, 10:50:16",E,r,102.0,Light Off
"05/15/2022, 10:50:20",24.0,73.0,102.0,Light Off
"05/15/2022, 10:50:24",23.0,74.0,102.0,Light Off
"05/15/2022, 10:50:28",23.0,74.0,102.0,Light Off
"05/15/2022, 10:50:32",23.0,74.0,102.0,Light Off
"05/15/2022, 10:50:36",24.0,74.0,102.0,Light Off
"05/15/2022, 10:50:40",23.0,74.0,102.0,Light Off
"05/15/2022, 10:50:44",23.0,74.0,102.0,Light Off
"05/15/2022, 10:50:48",24.0,74.0,102.0,Light Off
"05/15/2022, 10:50:52",23.0,74.0,102.0,Light Off
"05/15/2022, 10:50:56",24.0,74.0,102.0,Light Off
"05/15/2022, 10:51:00",E,r,102.0,Light Off
"05/15/2022, 10:51:04",23.0,74.0,102.0,Light Off
"05/15/2022, 10:51:08",24.0,74.0,102.0,Light Off
"05/15/2022, 10:53:24",23.0,74.0,102.0,Light Off
"05/15/2022, 10:53:28",23.0,59.0,102.0,Light Off
"05/15/2022, 10:53:32",23.0,72.0,102.0,Light Off
"05/15/2022, 10:53:36",23.0,73.0,102.0,Light Off
"05/15/2022, 10:53:40",23.0,72.0,102.0,Light Off
"05/15/2022, 10:53:44",23.0,72.0,102.0,Light Off
"05/15/2022, 10:53:48",23.0,72.0,102.0,Light Off
